Player,Age,Pos,G,MP,FG%,3P%,eFG%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Tm,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed,contract_length
James Wiseman,23.0,C,1.0,5.0,0.5,0.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,TOR,2237691,0,0,0,0,0,2237691,1
Kevin Porter Jr.,24.0,SG,59.0,18.8,0.44,0.285,0.477,0.712,0.5,2.8,3.4,3.2,1.0,0.2,1.9,1.5,9.4,MIL,3237691,2546675,0,0,0,0,2237691,2
Garrison Mathews,28.0,SG,44.0,17.6,0.397,0.39,0.562,0.818,0.3,1.5,1.8,1.3,0.6,0.3,0.7,1.8,7.6,ATL,2230253,0,0,0,0,0,2230253,1
Jeremiah Robinson-Earl,24.0,PF,51.0,17.4,0.453,0.339,0.533,0.825,1.5,2.8,4.4,1.1,0.6,0.1,0.6,1.2,5.7,NOP,2196970,0,0,0,0,0,2196970,1
Lindy Waters III,27.0,SG,45.0,15.2,0.374,0.335,0.498,0.727,0.4,1.8,2.2,1.0,0.5,0.2,0.4,1.3,5.0,DET,2196970,0,0,0,0,0,2196970,1
Dalano Banton,25.0,PG,52.0,15.1,0.415,0.361,0.494,0.71,0.4,1.5,1.9,2.1,0.6,0.4,1.2,0.8,8.0,POR,2196970,0,0,0,0,0,2019706,1
Sam Merrill,28.0,SG,56.0,19.3,0.403,0.369,0.564,0.966,0.5,1.6,2.1,1.4,0.7,0.2,0.4,1.8,7.1,CLE,2164993,0,0,0,0,0,2164993,1
Luka Garza,26.0,C,32.0,6.0,0.473,0.242,0.516,0.677,1.0,0.6,1.6,0.3,0.2,0.1,0.3,0.8,3.7,MIN,2162606,2349578,0,0,0,0,2162606,2
Keon Johnson,22.0,SG,64.0,23.8,0.373,0.293,0.448,0.774,0.8,2.8,3.7,2.0,1.0,0.4,1.3,2.5,9.8,BKN,2162606,2349578,0,0,0,0,2162606,2
Neemias Queta,25.0,C,50.0,14.4,0.645,0.0,0.645,0.729,1.5,2.5,3.9,0.7,0.3,0.7,0.7,1.8,5.1,BOS,2162606,2349578,2667944,0,0,0,2162606,3
Vit Krejci,24.0,PG,41.0,20.5,0.453,0.396,0.589,0.667,0.4,2.3,2.7,2.7,0.7,0.5,1.0,1.9,7.0,ATL,2162606,2349578,2667944,3005085,0,0,2162606,4
Vince Williams Jr.,24.0,SG,15.0,18.6,0.404,0.255,0.471,0.722,1.0,2.7,3.7,2.1,0.7,0.2,1.4,1.9,7.4,MEM,2120693,2301587,2489752,0,0,0,4422280,3
Colby Jones,22.0,SG,25.0,5.3,0.423,0.4,0.5,0.0,0.3,0.6,0.9,0.3,0.2,0.3,0.3,0.5,1.0,WAS,2120693,2221677,2406205,0,0,0,2120693,3
Keon Ellis,25.0,SG,63.0,23.1,0.481,0.429,0.627,0.848,0.8,1.8,2.5,1.3,1.4,0.8,0.8,2.0,8.3,SAC,2120693,2301587,0,0,0,0,2120693,2
A.J. Green,25.0,SG,58.0,22.8,0.427,0.42,0.608,0.905,0.2,2.0,2.3,1.4,0.6,0.1,0.5,2.2,7.5,MIL,2120693,2301587,0,0,0,0,2120693,2
Sam Hauser,27.0,PF,56.0,20.6,0.438,0.399,0.609,1.0,0.7,2.4,3.1,0.9,0.6,0.2,0.4,1.2,7.7,BOS,2092344,10044644,10848215,11651785,12455356,0,47092344,5
Jericho Sims,26.0,C,51.0,11.9,0.652,0.0,0.652,0.615,1.3,2.4,3.8,0.6,0.2,0.4,0.6,1.2,1.9,MIL,2092344,0,0,0,0,0,2092344,1
Jay Huff,26.0,C,52.0,12.1,0.512,0.415,0.652,0.771,0.5,1.6,2.1,0.6,0.2,0.9,0.6,1.3,7.1,MEM,2088033,2349578,2667944,3005085,0,0,4437611,4
Tyler Kolek,23.0,PG,30.0,5.1,0.367,0.367,0.48,1.0,0.1,0.4,0.5,0.7,0.2,0.0,0.3,0.4,1.8,NYK,2087519,2191897,2296271,2486995,0,0,6575687,4
Scotty Pippen Jr.,24.0,PG,65.0,20.2,0.471,0.36,0.538,0.706,0.8,2.4,3.2,4.2,1.3,0.4,1.7,2.5,9.1,MEM,2087519,2270735,2461462,2789215,0,0,4358254,4
Reggie Jackson,34.0,PG,31.0,12.4,0.391,0.338,0.485,0.778,0.3,1.1,1.4,1.5,0.5,0.1,0.5,1.1,4.4,WAS,4033748,0,0,0,0,0,2087519,1
Alex Len,31.0,C,42.0,7.9,0.5,0.167,0.51,0.538,0.7,1.1,1.9,0.8,0.2,0.5,0.3,1.0,1.4,WAS,2831348,0,0,0,0,0,2087519,1
Mo Bamba,26.0,C,30.0,13.1,0.454,0.283,0.523,0.68,1.0,3.5,4.5,0.6,0.3,1.0,0.6,1.8,4.3,UTA,2087519,0,0,0,0,0,2087519,1
Garrett Temple,38.0,SG,20.0,5.3,0.24,0.273,0.3,1.0,0.2,0.6,0.8,1.1,0.5,0.1,0.4,0.7,1.0,TOR,2087519,0,0,0,0,0,2087519,1
Charles Bassey,24.0,C,34.0,10.7,0.586,0.0,0.586,0.636,1.6,2.8,4.4,0.5,0.4,0.9,0.7,1.4,4.6,SAS,2087519,2500000,0,0,0,0,2087519,2
Jordan McLaughlin,28.0,PG,35.0,6.0,0.408,0.414,0.531,0.737,0.1,0.5,0.6,0.9,0.3,0.0,0.3,0.4,1.9,SAS,2087519,0,0,0,0,0,2087519,1
Sandro Mamukelashvili,25.0,PF,43.0,8.6,0.511,0.373,0.622,0.714,0.6,1.7,2.3,0.6,0.3,0.3,0.3,0.8,4.6,SAS,2087519,0,0,0,0,0,2087519,1
Doug McDermott,33.0,SF,36.0,7.9,0.418,0.423,0.599,0.6,0.1,0.4,0.5,0.1,0.1,0.1,0.2,0.8,3.1,SAC,2087519,0,0,0,0,0,2087519,1
Tyus Jones,28.0,PG,65.0,28.2,0.443,0.413,0.561,0.885,0.5,2.0,2.4,5.8,0.9,0.1,1.3,0.9,10.3,PHO,2087519,0,0,0,0,0,2087519,1
Bol Bol,25.0,PF,30.0,14.0,0.509,0.33,0.592,0.769,0.6,2.7,3.3,0.6,0.3,0.8,0.6,0.7,7.5,PHO,2087519,0,0,0,0,0,2087519,1
Monte Morris,29.0,PG,40.0,13.1,0.404,0.301,0.468,0.85,0.3,1.2,1.4,1.7,0.4,0.1,0.4,0.5,4.9,PHO,2087519,0,0,0,0,0,2087519,1
Mason Plumlee,34.0,C,65.0,18.1,0.618,0.0,0.618,0.646,1.6,4.7,6.4,1.8,0.4,0.7,0.8,2.2,4.7,PHO,2087519,0,0,0,0,0,2087519,1
Damion Lee,32.0,SG,17.0,6.1,0.34,0.222,0.396,0.941,0.1,0.7,0.8,0.5,0.2,0.0,0.4,0.3,3.4,PHO,2087519,0,0,0,0,0,2087519,1
Guerschon Yabusele,29.0,C,60.0,26.5,0.501,0.388,0.597,0.743,1.9,3.5,5.4,2.0,0.8,0.4,1.3,2.4,10.5,PHI,2087519,0,0,0,0,0,2087519,1
Kyle Lowry,38.0,PG,33.0,18.9,0.351,0.337,0.477,0.818,0.3,1.6,2.0,2.8,0.9,0.3,0.6,1.8,4.0,PHI,2087519,0,0,0,0,0,2087519,1
Daniel Theis,32.0,C,38.0,16.3,0.473,0.243,0.508,0.838,1.2,3.2,4.3,1.6,0.5,0.5,0.7,1.8,4.3,OKC,2087519,0,0,0,0,0,2087519,1
Cameron Payne,30.0,PG,59.0,14.3,0.413,0.367,0.521,0.891,0.2,1.2,1.4,2.6,0.6,0.2,0.7,1.5,6.9,NYK,2087519,0,0,0,0,0,2087519,1
Delon Wright,32.0,PG,30.0,14.1,0.282,0.255,0.359,0.55,0.5,1.1,1.6,1.7,0.8,0.3,0.5,0.6,2.4,NYK,2087519,0,0,0,0,0,2087519,1
Joe Ingles,37.0,SF,18.0,6.0,0.3,0.231,0.375,0.0,0.1,0.5,0.6,1.2,0.1,0.0,0.4,0.6,0.8,MIN,2087519,0,0,0,0,0,2087519,1
Gary Trent Jr.,26.0,SG,58.0,24.8,0.436,0.418,0.571,0.842,0.3,2.0,2.3,1.1,1.0,0.1,0.6,1.8,10.6,MIL,2087519,0,0,0,0,0,2087519,1
Taurean Prince,30.0,SF,64.0,26.6,0.448,0.446,0.594,0.839,0.5,3.3,3.8,2.0,0.8,0.1,1.0,2.1,8.1,MIL,2087519,0,0,0,0,0,2087519,1
Alec Burks,33.0,SG,36.0,17.7,0.407,0.419,0.559,0.756,0.4,2.3,2.7,1.1,0.6,0.2,0.4,0.7,6.4,MIA,2087519,0,0,0,0,0,2087519,1
Markieff Morris,35.0,PF,11.0,6.6,0.25,0.273,0.333,0.75,0.0,0.9,0.9,0.8,0.1,0.1,0.3,0.7,2.5,LAL,2087519,0,0,0,0,0,2087519,1
Patty Mills,36.0,PG,23.0,12.6,0.341,0.303,0.459,0.857,0.1,0.8,0.9,1.0,0.6,0.1,0.7,0.8,3.7,LAC,2087519,0,0,0,0,0,2087519,1
James Johnson,37.0,PF,12.0,3.1,0.364,0.0,0.364,0.0,0.0,0.5,0.5,0.3,0.0,0.2,0.3,0.4,0.7,IND,2087519,0,0,0,0,0,2087519,1
Thomas Bryant,27.0,C,48.0,15.1,0.52,0.355,0.598,0.826,1.4,2.6,4.1,1.0,0.4,0.6,0.5,1.2,6.9,IND,2087519,0,0,0,0,0,2087519,1
DeAndre Jordan,36.0,C,46.0,11.5,0.651,0.0,0.651,0.405,1.4,3.3,4.7,0.8,0.3,0.4,0.7,1.2,3.3,DEN,2087519,0,0,0,0,0,2087519,1
Vlatko Čančar,27.0,PF,6.0,6.8,0.571,0.5,0.643,0.0,0.5,1.2,1.7,0.0,0.0,0.2,0.3,0.7,1.5,DEN,2087519,0,0,0,0,0,2087519,1
Spencer Dinwiddie,31.0,PG,65.0,25.7,0.409,0.336,0.492,0.813,0.2,2.2,2.4,3.8,0.8,0.2,1.2,1.5,10.3,DAL,2087519,0,0,0,0,0,2087519,1
Tristan Thompson,33.0,C,33.0,7.2,0.434,0.0,0.434,0.227,0.7,2.1,2.8,0.6,0.0,0.2,0.3,0.8,1.5,CLE,2087519,0,0,0,0,0,2087519,1
Seth Curry,34.0,SG,54.0,14.5,0.465,0.447,0.588,0.8,0.4,1.2,1.6,0.7,0.4,0.1,0.4,0.9,5.9,CHO,2087519,0,0,0,0,0,2087519,1
Taj Gibson,39.0,C,27.0,11.3,0.486,0.5,0.493,0.688,1.5,2.0,3.6,0.6,0.3,0.4,0.7,1.6,3.0,CHO,2087519,0,0,0,0,0,2087519,1
Talen Horton-Tucker,24.0,SG,48.0,11.3,0.447,0.368,0.527,0.691,0.3,1.4,1.7,1.3,0.3,0.2,0.7,1.0,5.6,CHI,2087519,0,0,0,0,0,2087519,1
Luke Kornet,29.0,C,58.0,17.9,0.665,0.0,0.665,0.714,2.4,2.6,5.0,1.6,0.5,1.0,0.4,1.6,5.3,BOS,2087519,0,0,0,0,0,2087519,1
Duop Reath,28.0,C,35.0,7.9,0.388,0.292,0.495,0.857,0.5,0.9,1.4,0.5,0.2,0.3,0.3,0.6,3.1,POR,2048780,2221677,0,0,0,0,2048780,2
Andrew Nembhard,25.0,SG,48.0,28.8,0.471,0.311,0.519,0.794,0.5,2.6,3.2,5.1,1.4,0.2,1.8,2.4,10.3,IND,2019699,18102000,19550160,20998320,0,0,60670179,4
Jaden Hardy,22.0,SG,46.0,15.2,0.428,0.384,0.521,0.672,0.2,1.4,1.5,1.4,0.5,0.1,1.4,1.5,8.0,DAL,2019699,6000000,6000000,6000000,0,0,14019699,4
Jabari Walker,22.0,SF,50.0,11.8,0.506,0.383,0.571,0.654,1.0,2.5,3.5,0.6,0.6,0.1,0.5,1.5,4.7,POR,2019699,0,0,0,0,0,2019699,1
Caleb Houstan,22.0,SF,43.0,11.3,0.339,0.324,0.479,0.929,0.3,0.7,1.0,0.4,0.2,0.1,0.1,1.0,2.9,ORL,2019699,2187699,0,0,0,0,2019699,2
Jaylin Williams,22.0,PF,36.0,16.3,0.407,0.347,0.53,0.8,1.1,4.3,5.4,2.4,0.4,0.6,0.7,1.6,5.3,OKC,2019699,2187451,0,0,0,0,2019699,2
Josh Minott,22.0,SF,38.0,6.2,0.434,0.235,0.487,0.846,0.3,0.8,1.1,0.4,0.3,0.3,0.3,0.7,2.2,MIN,2019699,2187451,0,0,0,0,2019699,2
Jose Alvarado,26.0,PG,43.0,23.7,0.408,0.385,0.528,0.816,0.5,1.9,2.4,4.6,1.4,0.3,1.1,1.7,9.8,NOP,1988598,4500000,4500000,0,0,0,6488598,3
Ricky Council IV,23.0,SF,56.0,14.7,0.399,0.283,0.464,0.833,0.6,1.6,2.2,1.2,0.5,0.1,0.5,0.8,6.4,PHI,1891857,2221677,2406205,0,0,0,4113534,3
GG Jackson II,20.0,PF,23.0,16.7,0.405,0.349,0.494,0.722,1.0,2.2,3.2,1.1,0.4,0.2,1.2,1.1,8.1,MEM,1891857,2221677,2406205,0,0,0,4113534,3
Jalen Pickett,25.0,SG,33.0,11.4,0.442,0.386,0.548,1.0,0.2,1.0,1.2,1.8,0.3,0.1,0.4,0.6,3.5,DEN,1891857,2221677,2406205,0,0,0,4113534,3
Hunter Tyson,24.0,PF,43.0,7.3,0.38,0.321,0.487,0.696,0.3,1.1,1.4,0.3,0.1,0.1,0.3,0.9,2.2,DEN,1891857,2221677,2406205,0,0,0,4113534,3
Julian Phillips,21.0,SF,64.0,13.9,0.443,0.328,0.531,0.761,0.9,1.2,2.1,0.5,0.4,0.3,0.4,1.3,4.6,CHI,1891857,2221677,2406205,0,0,0,4113534,3
Jordan Walsh,20.0,PF,42.0,8.1,0.375,0.302,0.477,0.583,0.5,0.8,1.3,0.4,0.2,0.2,0.3,0.6,1.6,BOS,1891857,2221677,2406205,0,0,0,2091857,3
Sidy Cissoko,20.0,SF,20.0,3.0,0.5,0.429,0.583,0.167,0.2,0.4,0.6,0.3,0.1,0.0,0.2,0.4,1.1,WAS,1891857,0,0,0,0,0,1891857,1
Toumani Camara,24.0,PF,65.0,32.7,0.453,0.364,0.541,0.745,2.3,3.6,5.9,2.2,1.5,0.6,1.5,3.1,10.6,POR,1891857,2221677,2406205,0,0,0,1891857,3
Rayan Rupert,20.0,SG,41.0,7.5,0.39,0.27,0.451,0.75,0.5,0.6,1.1,0.4,0.2,0.0,0.5,0.6,2.2,POR,1891857,2221677,0,0,0,0,1891857,2
Leonard Miller,21.0,SF,10.0,2.7,0.357,0.0,0.357,1.0,0.3,0.8,1.1,0.0,0.2,0.1,0.2,0.2,1.8,MIN,1891857,2221677,2406205,0,0,0,1891857,3
Chris Livingston,21.0,SF,15.0,4.7,0.333,0.0,0.333,0.625,0.5,1.1,1.5,0.1,0.3,0.0,0.3,0.3,1.1,MIL,1891857,2221677,2406205,0,0,0,1891857,3
Andre Jackson Jr.,23.0,SG,57.0,15.8,0.467,0.397,0.547,0.556,1.0,1.9,2.9,1.3,0.5,0.2,0.9,1.9,3.7,MIL,1891857,2221677,2406205,0,0,0,1891857,3
Gui Santos,22.0,PF,41.0,13.8,0.482,0.364,0.584,0.727,1.2,1.9,3.1,1.5,0.4,0.2,0.8,1.8,4.5,GSW,1891857,2221677,0,0,0,0,1891857,2
Trayce Jackson-Davis,24.0,C,53.0,17.3,0.573,0.0,0.573,0.591,2.1,3.4,5.5,1.9,0.4,0.7,0.8,1.3,7.1,GSW,1891857,2221677,2406205,0,0,0,1891857,3
Craig Porter Jr.,24.0,PG,41.0,8.9,0.549,0.455,0.632,0.769,0.3,0.9,1.2,1.4,0.3,0.3,0.6,0.4,3.0,CLE,1891857,2221677,2406205,0,0,0,1891857,3
Jalen Wilson,24.0,PF,65.0,25.9,0.396,0.317,0.486,0.833,1.0,2.3,3.3,1.8,0.5,0.0,1.1,2.2,9.1,BKN,1891857,2221677,0,0,0,0,1891857,2
Maxwell Lewis,22.0,SF,13.0,3.9,0.308,0.5,0.385,0.0,0.2,0.5,0.8,0.2,0.1,0.0,0.2,0.2,0.8,BKN,1891857,2221677,2406205,0,0,0,1891857,3
Mouhamed Gueye,22.0,PF,18.0,16.2,0.436,0.255,0.5,0.789,0.8,2.5,3.3,0.8,1.1,1.1,0.4,1.6,6.4,ATL,1891857,2221677,2406205,0,0,0,1891857,3
Jonathan Mogbo,23.0,PF,49.0,17.9,0.451,0.298,0.482,0.703,1.6,2.6,4.1,1.6,0.8,0.5,0.9,2.1,5.3,TOR,1862265,1955377,2296271,0,0,0,3817642,3
Jamal Shead,22.0,PG,60.0,17.9,0.418,0.327,0.488,0.756,0.4,1.0,1.3,3.7,0.5,0.1,1.5,2.0,6.2,TOR,1862265,1955377,2296271,0,0,0,3817642,3
Johnny Furphy,20.0,SG,40.0,6.8,0.365,0.306,0.452,1.0,0.4,0.8,1.2,0.3,0.3,0.2,0.2,0.7,1.7,IND,1850842,1955377,2296271,2486995,0,0,6102490,4
Pacome Dadiet,19.0,SG,14.0,6.8,0.333,0.353,0.444,0.667,0.0,1.0,1.0,0.4,0.2,0.1,0.1,0.4,1.9,NYK,1808080,2847600,2983680,5373608,0,0,4655680,4
Javonte Green,31.0,SG,54.0,20.9,0.458,0.368,0.547,0.739,0.9,2.6,3.5,0.9,1.0,0.6,0.5,1.5,5.7,NOP,1728488,0,0,0,0,0,1728488,1
Jae Crowder,34.0,PF,7.0,13.1,0.353,0.25,0.441,0.833,0.9,1.6,2.4,0.6,0.4,0.0,0.6,1.4,2.9,SAC,1655619,0,0,0,0,0,1655619,1
Karlo Matković,23.0,PF,29.0,17.6,0.546,0.342,0.596,0.793,1.6,3.0,4.6,1.0,0.4,1.1,0.9,2.3,6.1,NOP,1407153,1955377,2296271,0,0,0,3362530,3
Landry Shamet,27.0,SG,33.0,12.0,0.486,0.361,0.589,0.556,0.2,0.8,0.9,0.5,0.5,0.1,0.4,0.9,4.0,NYK,1343690,0,0,0,0,0,1343690,1
Bobi Klintman,21.0,SF,6.0,2.8,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.2,0.0,0.2,0.2,0.3,0.0,DET,1257153,1955377,2296271,2486995,0,0,3212530,4
Tyler Smith,20.0,PF,17.0,4.9,0.472,0.4,0.583,0.5,0.2,0.9,1.2,0.2,0.1,0.2,0.4,0.5,2.6,MIL,1157153,1955377,2296271,2486995,0,0,5408801,4
Oso Ighodaro,22.0,PF,45.0,14.2,0.589,0.0,0.589,0.528,0.8,2.3,3.1,0.9,0.4,0.4,0.6,1.5,3.4,PHO,1157153,1955377,2296271,2486995,0,0,3112530,4
Jaylen Wells,21.0,SG,66.0,26.0,0.433,0.363,0.538,0.809,1.1,2.2,3.3,1.7,0.6,0.1,1.0,1.8,10.9,MEM,1157153,1955377,2296271,2486995,0,0,3112530,4
Bronny James,20.0,SG,18.0,4.2,0.258,0.2,0.306,0.667,0.1,0.4,0.4,0.4,0.2,0.1,0.3,0.3,1.4,LAL,1157153,1955377,2296271,2486995,0,0,3112530,4
Cam Christie,19.0,SG,6.0,5.2,0.333,0.25,0.417,0.5,0.2,0.8,1.0,0.3,0.3,0.0,0.3,0.3,1.8,LAC,1157153,1955377,2296271,2486995,0,0,3112530,4
Adem Bona,21.0,C,46.0,11.9,0.688,0.0,0.688,0.661,1.2,2.0,3.2,0.3,0.3,0.9,0.7,1.9,3.7,PHI,1157153,1955377,2296271,2486995,0,0,1157153,4
Antonio Reeves,24.0,SG,30.0,10.6,0.422,0.355,0.517,0.846,0.4,0.7,1.2,0.8,0.3,0.1,0.4,0.5,4.4,NOP,1157153,1955377,2296271,0,0,0,1157153,3
Pelle Larsson,23.0,SG,42.0,13.0,0.441,0.324,0.522,0.683,0.4,1.0,1.5,1.0,0.4,0.1,0.3,1.8,4.0,MIA,1157153,1955377,2296271,0,0,0,1157153,3
Bruno Fernando,26.0,C,17.0,8.6,0.531,0.0,0.531,0.75,1.2,1.8,3.0,1.1,0.2,0.5,0.8,1.6,3.4,TOR,1115128,0,0,0,0,0,1115128,1
Ariel Hukporti,22.0,C,25.0,8.7,0.677,0.0,0.677,0.462,0.6,1.5,2.0,0.4,0.0,0.6,0.8,1.3,1.9,NYK,1064049,1955377,0,0,0,0,1064049,2
PJ Dozier,28.0,SG,9.0,3.9,0.667,0.667,1.0,0.167,0.1,0.4,0.6,0.6,0.1,0.0,0.1,0.3,0.8,MIN,1051255,0,0,0,0,0,1051255,1
Jamison Battle,23.0,SF,43.0,13.6,0.452,0.416,0.609,0.857,0.7,1.5,2.1,0.8,0.1,0.1,0.4,1.2,5.9,TOR,1000000,1955377,2296271,0,0,0,1000000,3
Orlando Robinson,24.0,C,31.0,14.7,0.437,0.286,0.465,0.795,1.7,2.5,4.2,1.5,0.5,0.4,0.9,1.7,5.4,SAC,1199723,0,0,0,0,0,959779,1
Moussa Diabaté,23.0,C,56.0,18.3,0.592,0.0,0.592,0.575,2.9,3.7,6.6,0.9,0.7,0.6,0.9,1.6,5.4,CHO,957763,2270735,2461462,0,0,0,957763,3
Jared Butler,24.0,SG,43.0,13.0,0.466,0.346,0.52,0.783,0.4,1.2,1.7,3.0,0.4,0.2,1.1,1.3,7.2,PHI,745726,2349578,0,0,0,0,745726,2
Markelle Fultz,26.0,PG,10.0,7.9,0.4,0.25,0.417,1.0,0.2,0.5,0.7,0.9,0.5,0.1,1.0,0.5,2.6,SAC,731831,0,0,0,0,0,731831,1
Keshad Johnson,23.0,SF,10.0,5.7,0.583,0.25,0.625,0.167,0.2,1.5,1.7,0.3,0.1,0.4,0.3,0.5,1.6,MIA,724883,1955377,0,0,0,0,724883,2
E.J. Liddell,24.0,PF,7.0,4.7,0.5,0.375,0.65,1.0,0.1,0.6,0.7,0.4,0.1,0.1,0.3,1.1,2.1,PHO,706898,706898,706898,0,0,0,2120694,3
Matt Ryan,27.0,SF,19.0,3.6,0.323,0.316,0.419,1.0,0.0,0.4,0.4,0.2,0.1,0.0,0.2,0.1,1.5,NYK,621439,0,0,0,0,0,621439,1
Ryan Rollins,22.0,PG,41.0,12.0,0.462,0.361,0.538,0.833,0.4,1.2,1.6,1.2,0.7,0.3,0.9,1.3,4.9,WAS,600000,0,0,0,0,0,600000,1
Quinten Post,24.0,PF,28.0,16.3,0.455,0.417,0.582,0.789,1.0,2.9,3.9,1.5,0.4,0.5,0.8,2.1,8.4,GSW,438920,1955377,0,0,0,0,438920,2
Justin Edwards,21.0,SF,32.0,24.3,0.447,0.346,0.544,0.704,1.0,2.1,3.0,1.4,0.8,0.3,0.9,2.3,8.3,PHI,425619,1955377,0,0,0,0,425619,2
Branden Carlson,25.0,C,20.0,6.1,0.442,0.412,0.605,1.0,0.3,1.2,1.5,0.4,0.1,0.4,0.2,0.7,2.8,OKC,496519,0,0,0,0,0,496519,1
Moses Brown,25.0,C,13.0,9.2,0.694,0.0,0.694,0.727,0.9,2.5,3.4,0.2,0.5,0.3,0.8,1.3,5.8,IND,306660,0,0,0,0,0,306660,1
Jaylen Nowell,25.0,SG,8.0,21.0,0.356,0.296,0.411,0.636,0.8,1.8,2.5,2.3,0.1,0.5,1.0,1.1,8.4,NOP,446743,0,0,0,0,0,278782,1
Elfrid Payton,30.0,PG,13.0,20.5,0.388,0.0,0.388,0.5,0.5,2.4,2.8,5.2,1.2,0.5,2.1,1.7,4.1,NOP,514753,0,0,0,0,0,274809,1
Bismack Biyombo,32.0,C,13.0,17.6,0.692,0.0,0.692,0.333,1.6,3.8,5.4,1.0,0.6,0.9,0.9,1.8,5.9,SAS,143967,0,0,0,0,0,287934,1
Malevy Leons,25.0,SF,6.0,3.5,0.0,0.0,0.0,0.5,0.2,0.3,0.5,0.2,0.0,0.0,0.2,0.7,0.3,OKC,126356,0,0,0,0,0,126356,1
Daishen Nix,22.0,PG,3.0,4.3,0.0,0.0,0.0,0.5,0.0,1.3,1.3,1.0,0.0,0.0,1.3,0.3,0.3,SAC,119972,0,0,0,0,0,119972,1
Chuma Okeke,26.0,PF,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI,119972,0,0,0,0,0,119972,1
Jahlil Okafor,29.0,C,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,IND,119972,0,0,0,0,0,119972,1
